Rank,Group,PrimerID,Pair,Target,GeneID,GeneName,Len,Intron.Len,MeltPeak,IsRef,STDcurve,Intercept,Slope,R2,Efficiency,Log.Base,High.Mass,Low.Mass,Unit.Mass,High.Moles,Low.Moles,Unit.Mols,Copy.No.High,Copy.No.Low,Programe,Annealing Tm
28,3,XL038,XL038F2/R2,CYP710A2,AT2G34490,CYP710A2,97,0,75,F,T,33.30663,-3.515931,0.9984615,0.924951,10,1.00E+05,1.00E+00,ag,1.67E+00,1.67E-05,amol,1.00E+06,1.00E+01,XL2STEP_MELT,60
29,3,XL041,XL041F/R,CYP71A19,AT4G13290,CYP71A19,119,83,76.5,F,T,33.64396,-3.528401,0.9995804,0.920501,10,1.00E+05,1.00E+00,ag,1.36E+00,1.36E-05,amol,8.18E+05,8.18E+00,XL2STEP_MELT,60
30,4,XL052,XL052F/R,FLA1,AT5G55730,FLA1,133,743,79.5,F,T,32.25076,-3.266044,0.9995082,1.0238618,10,1.00E+05,1.00E+01,ag,1.22E+00,1.22E-04,amol,7.32E+05,7.32E+01,XL2STEP_MELT,60
31,4,XL037,XL037F/R,E6L,AT2G33850,NA,98,0,78.5,F,T,33.24307,-3.426197,0.9998124,0.9582529,10,1.00E+05,1.00E+00,ag,1.65E+00,1.65E-05,amol,9.93E+05,9.93E+00,XL2STEP_MELT,60
32,4,XL036,XL036F/R,ELP,AT2G28140,NA,182,82,79,F,T,34.28363,-3.424938,0.9985773,0.958737,10,1.00E+05,1.00E+00,ag,8.89E-01,8.89E-06,amol,5.35E+05,5.35E+00,XL2STEP_MELT,60
33,5,XL063,XL063F/R,EXPA4,AT2G39700,EXPA4,128,95,86,F,T,31.52471,-3.291381,0.9998689,1.0129078,10,1.00E+05,1.00E+01,ag,1.26E+00,1.26E-04,amol,7.61E+05,7.61E+01,XL2STEP_MELT,60
34,5,XL059,XL059F/R,PME41,AT4G02330,PME41,124,728,83,F,T,32.38797,-3.420298,0.9998398,0.9605241,10,1.00E+05,1.00E+01,ag,1.30E+00,1.30E-04,amol,7.85E+05,7.85E+01,XL2STEP_MELT,60
35,5,XL060,XL060F/R,SMXL8,AT2G40130,SMXL8,130,198,78.5,F,T,31.63082,-3.321721,0.9999626,1.0000864,10,1.00E+05,1.00E+01,ag,1.24E+00,1.24E-04,amol,7.49E+05,7.49E+01,XL2STEP_MELT,60
36,5,XL035,XL035F2/R2,NRT1.7,AT1G69870,NRT1.7,68,1341,77,F,T,31.82157,-3.368166,0.9998915,0.9810593,10,1.00E+05,1.00E+00,ag,2.38E+00,2.38E-05,amol,1.43E+06,1.43E+01,XL2STEP_MELT,60
37,5,XL033,XL033F2/R2,ABH,AT1G52700,NA,143,692,80,F,T,32.68305,-3.329004,0.9992109,0.9970556,10,1.00E+05,1.00E+00,ag,1.13E+00,1.13E-05,amol,6.81E+05,6.81E+00,XL2STEP_MELT,60
